data_adi,data_detay,original_week_period,original_date_text,date
Trabzon,222.32,06-12 Mart 2021,12 Mart 2021,2021-03-12
Tunceli,53.93,06-12 Mart 2021,12 Mart 2021,2021-03-12
Uşak,19.22,06-12 Mart 2021,12 Mart 2021,2021-03-12
Van,20.36,06-12 Mart 2021,12 Mart 2021,2021-03-12
Yalova,200.33,06-12 Mart 2021,12 Mart 2021,2021-03-12
Yozgat,46.05,06-12 Mart 2021,12 Mart 2021,2021-03-12
Zonguldak,75.44,06-12 Mart 2021,12 Mart 2021,2021-03-12
Adana,61.58,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Adıyaman,169.81,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Afyon,47.36,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Ağrı,41.46,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Aksaray,214.42,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Amasya,194.04,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Ankara,107.99,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Antalya,119.18,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Ardahan,86.31,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Artvin,113.86,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Aydın,69.07,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Balıkesir,288.16,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Bartın,76.89,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Batman,28.54,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Bayburt,74.47,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Bilecik,114.3,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Bingöl,47.56,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Bitlis,23.08,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Bolu,100.38,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Burdur,72.26,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Bursa,97.14,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Çanakkale,202.75,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Çankırı,122.64,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Çorum,138.65,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Denizli,49.38,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Diyarbakır,18.78,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Düzce,95.28,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Edirne,219.49,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Elazığ,80.11,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Erzincan,124.13,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Erzurum,72.4,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Eskişehir,116.56,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Gaziantep,87.33,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Giresun,356.35,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Gümüşhane,105.15,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Hakkari,15.69,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Hatay,61.77,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Iğdır,107.3,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Isparta,74.49,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
İstanbul,251.12,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
İzmir,111.41,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Kahramanmaraş,67.37,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Karabük,84.15,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Karaman,89.44,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Kars,30.53,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Kastamonu,197.41,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Kayseri,196.07,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Kırıkkale,73.91,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Kırklareli,155.09,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Kırşehir,61.31,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Kilis,258.42,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Kocaeli,176.39,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Konya,252.18,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Kütahya,111.33,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Malatya,140.54,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Manisa,64.66,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Mardin,17.08,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Mersin,80.7,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Muğla,92.33,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Muş,21.16,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Nevşehir,79.35,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Niğde,104.4,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Ordu,258.87,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Osmaniye,198.52,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Rize,202.41,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Sakarya,124.49,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Samsun,508.97,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Siirt,14.2,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Sinop,309.06,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Sivas,55.83,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Şanlıurfa,18.3,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Şırnak,8.18,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Tekirdağ,168.26,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Tokat,248.72,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Trabzon,246.95,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Tunceli,63.52,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Uşak,19.49,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Van,27.41,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Yalova,275.31,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Yozgat,92.82,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Zonguldak,81.02,13 - 19 Mart 2021,19 Mart 2021,2021-03-19
Adana,187.36,10 - 16 Nisan 2021,16 Nisan 2021,2021-04-16
Adıyaman,248.08,10 - 16 Nisan 2021,16 Nisan 2021,2021-04-16
Afyon,359.74,10 - 16 Nisan 2021,16 Nisan 2021,2021-04-16
Ağrı,307.23,10 - 16 Nisan 2021,16 Nisan 2021,2021-04-16
Aksaray,356.26,10 - 16 Nisan 2021,16 Nisan 2021,2021-04-16
Amasya,461.11,10 - 16 Nisan 2021,16 Nisan 2021,2021-04-16
Ankara,534.14,10 - 16 Nisan 2021,16 Nisan 2021,2021-04-16
Antalya,301.65,10 - 16 Nisan 2021,16 Nisan 2021,2021-04-16
Ardahan,230.86,10 - 16 Nisan 2021,16 Nisan 2021,2021-04-16
Artvin,230.09,10 - 16 Nisan 2021,16 Nisan 2021,2021-04-16
Aydın,268.08,10 - 16 Nisan 2021,16 Nisan 2021,2021-04-16
Balıkesir,566.32,10 - 16 Nisan 2021,16 Nisan 2021,2021-04-16
Bartın,512.11,10 - 16 Nisan 2021,16 Nisan 2021,2021-04-16
Batman,157.19,10 - 16 Nisan 2021,16 Nisan 2021,2021-04-16
Bayburt,568.92,10 - 16 Nisan 2021,16 Nisan 2021,2021-04-16
Bilecik,494.25,10 - 16 Nisan 2021,16 Nisan 2021,2021-04-16
Bingöl,300.25,10 - 16 Nisan 2021,16 Nisan 2021,2021-04-16
Bitlis,150.15,10 - 16 Nisan 2021,16 Nisan 2021,2021-04-16
Bolu,442.18,10 - 16 Nisan 2021,16 Nisan 2021,2021-04-16
Burdur,258.71,10 - 16 Nisan 2021,16 Nisan 2021,2021-04-16
Bursa,500.57,10 - 16 Nisan 2021,16 Nisan 2021,2021-04-16
